label,sourceLen,tokens,descriptors,duplicateDescriptors,suppressedDescriptors,crfSize,yieldCount,matched,oraclePruned
testTrailingTriviaIncludesNewline#2,26,8,206,0,31,98,124,true,11
testParsePoundWarning#1,32,5,120,0,45,53,86,true,28
testKeyPathFollowedByOperator#2,14,9,159,0,50,55,154,true,77
testTrailingClosureInIfCondition#1,17,7,183,0,88,75,141,true,56
testParseSpecializeAttribute#3,174,40,756,0,119,319,502,true,212
testKeypathExpressionWithSugaredRoot#1,4,4,73,0,18,34,47,true,4
testTrailingClosureInIfCondition#2,17,7,183,0,88,75,141,true,56
testParseRetroactiveExtension#1,43,8,101,0,8,54,72,true,8
testKeypathExpressionWithSugaredRoot#2,7,7,111,0,22,50,70,true,8
testTrailingClosureInIfCondition#3,23,9,255,0,98,112,157,true,54
testParsePreconcurrency#1,36,8,96,0,6,52,70,true,8
testKeypathExpressionWithSugaredRoot#3,5,5,103,0,30,43,85,true,35
testClosureInsideIfCondition#1,17,10,222,0,89,95,143,true,34
testParsePreconcurrency#2,39,8,101,0,8,54,72,true,8
testKeypathExpressionWithSugaredRoot#4,5,5,103,0,30,43,85,true,35
testClosureInsideIfCondition#2,21,10,222,0,89,95,143,true,34
testParseIsolatedConformances#1,31,7,99,0,10,50,71,true,9
testKeypathExpressionWithSugaredRoot#5,6,6,187,0,51,75,125,true,74
testClosureInsideIfCondition#3,19,10,222,0,89,95,143,true,34
testParseIsolatedConformances#2,30,8,101,0,8,54,72,true,8
testKeypathExpressionWithSugaredRoot#6,10,8,258,0,69,102,159,true,97
testClosureInsideIfCondition#4,31,15,394,0,137,168,243,true,62
testParseIsolatedConformances#3,47,9,120,0,12,60,90,true,10
testKeypathExpressionWithSugaredRoot#7,5,5,70,0,17,31,45,true,4
testTypedThrows#1,40,10,186,0,26,83,87,true,22
testParseIsolatedConformances#4,39,9,120,0,12,60,90,true,10
testKeypathExpressionWithSugaredRoot#8,6,6,102,0,21,45,60,true,9
testTypedThrows#2,38,9,155,0,22,70,70,true,10
testEnumParsing#1,71,17,285,0,31,137,167,true,46
testKeypathExpressionWithSugaredRoot#9,9,8,140,0,25,61,82,true,13
testTypedThrows#3,29,6,127,0,19,58,55,true,7
testEnumParsing#2,140,35,510,0,49,224,393,true,126
testKeypathExpressionWithSugaredRoot#10,6,4,68,0,17,31,44,true,4
testForUnsafeStatement#1,31,9,130,0,33,65,91,true,40
testTypedThrows#1,40,13,162,0,12,75,98,true,25
testKeypathExpressionWithSugaredRoot#11,7,4,71,0,17,33,47,true,4
testForUnsafeStatement#2,29,8,124,0,32,62,84,true,34
testTypedThrows#2,43,14,172,0,10,88,119,true,38
testBasicLiterals#1,140,28,823,1,232,370,480,true,121
testForUnsafeStatement#3,19,6,115,0,32,57,75,true,27
testTypedThrows#3,30,10,99,0,5,49,64,true,9
testInitializerExpression#1,39,12,311,0,111,126,192,true,84
testForUnsafeStatement#4,24,8,146,0,35,69,90,true,29
testTypedThrows#4,107,30,302,0,25,147,238,true,63
testCollectionLiterals#1,32,12,438,0,131,169,271,true,157
testAccessors#1,38,11,245,0,40,110,152,true,60
testCollectionLiterals#2,25,11,423,0,107,170,241,true,116
testAccessors#2,55,15,542,0,108,256,316,true,212
testCollectionLiterals#4,43,17,423,1,124,165,304,true,174
testInitAccessor#1,69,19,422,0,97,201,314,true,196
testCollectionLiterals#5,33,16,541,11,223,183,486,true,372
testInitAccessor#2,46,13,165,0,7,89,126,true,24
testCollectionLiterals#6,54,21,695,6,229,259,522,true,366
testInitAccessor#3,89,25,598,0,157,271,436,true,304
testCollectionLiterals#7,54,24,648,1,168,257,408,true,192
testInitializers#1,176,58,676,0,43,365,541,true,141
testCollectionLiterals#8,54,12,317,0,102,126,165,true,39
testDeinitializers#1,9,3,56,0,1,28,35,true,13
testCollectionLiterals#9,90,24,528,0,175,221,302,true,103
testDeinitializers#2,6,1,45,0,1,24,21,true,4
testCollectionLiterals#10,36,12,312,0,97,127,206,true,108
testAttributedMember#1,67,15,289,0,52,129,184,true,63
testInterpolatedStringLiterals#1,59,8,218,0,64,90,123,true,34
testAnyAsParameterLabel#1,37,12,145,0,9,71,95,true,16
testInterpolatedStringLiterals#2,60,19,389,0,160,159,259,true,71
testPublicClass#1,31,7,184,0,20,105,94,true,46
testInterpolatedStringLiterals#3,57,14,401,0,126,173,236,true,86
testReturnVariableNamedAsync#1,144,42,848,0,263,362,539,true,190
testStringLiterals#1,3,1,50,0,15,23,30,true,1
testModifiedParameter#1,35,11,136,0,7,68,96,true,19
testStringLiterals#2,2,1,50,0,15,23,30,true,1
testModifiedParameter#2,40,11,136,0,7,68,96,true,19
testStringLiterals#3,7,1,51,0,15,23,30,true,1
testModifiedParameter#3,52,12,155,0,7,75,114,true,27
testStringLiterals#4,34,2,104,0,29,48,60,true,3
testModifiedParameter#5,33,10,136,2,7,67,98,true,25
testStringLiterals#5,237,5,162,0,39,67,111,true,18
testModifiedParameter#6,38,10,136,2,7,67,98,true,25
testStringLiterals#6,152,14,350,0,128,140,199,true,36
testModifiedParameter#7,50,11,155,2,7,74,116,true,37
testStringLiterals#7,43,9,224,0,81,90,130,true,41
testModifiedParameter#8,113,29,392,4,19,194,275,true,63
testStringLiterals#8,3,1,50,0,15,23,30,true,1
testMacroExpansionDeclaration#1,47,12,177,0,36,84,109,true,31
testStringLiterals#9,5,1,56,0,15,27,30,true,1
testMacroExpansionDeclaration#2,7,2,55,0,17,28,33,true,5
testStringLiterals#10,7,1,56,0,15,27,30,true,1
testAttributedMacroExpansionDeclaration#1,28,4,158,0,25,80,65,true,28
testStringLiterals#11,23,1,56,0,15,27,30,true,1
testAttributedMacroExpansionDeclaration#2,28,3,152,0,19,85,68,true,42
testStringLiterals#12,6,3,105,0,33,45,56,true,4
testAttributedMacroExpansionDeclaration#3,13,2,55,0,17,28,33,true,5
testAdjacentRawStringLiterals#1,32,2,104,0,29,48,60,true,3
testAttributedMacroExpansionDeclaration#4,41,8,187,0,24,98,93,true,28
testAdjacentRawStringLiterals#2,38,2,110,0,29,52,60,true,3
testAttributedMacroExpansionDeclaration#5,41,7,182,0,19,103,96,true,42
testStringBogusClosingDelimiters#1,7,1,56,0,15,27,30,true,1
testAttributedMacroExpansionDeclaration#6,26,6,75,0,3,43,52,true,8
testSubscript#1,7,3,71,0,32,30,46,true,13
testAttributedMacroExpansionDeclaration#7,42,10,219,0,27,112,105,true,31
testSubscript#2,9,4,87,0,33,39,56,true,16
testAttributedMacroExpansionDeclaration#8,42,9,213,0,21,117,108,true,45
testConsumeExpression#1,11,2,105,0,36,42,52,true,22
testAttributedMacroExpansionDeclaration#9,27,8,116,0,19,60,73,true,8
testConsumeExpression#2,16,5,173,0,67,68,95,true,34
testAttributedMacroExpansionDeclaration#10,59,13,341,0,50,154,195,true,95
testConsumeExpression#4,29,9,206,0,64,85,132,true,56
testVariableGetSetNextLine#1,34,11,192,0,22,88,133,true,32
testBorrowExpression#1,10,2,105,0,36,42,52,true,22
testVariableFollowedByReferenceToSet#1,38,13,244,0,52,112,149,true,31
testBorrowExpression#2,15,5,173,0,67,68,95,true,34
